Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2012","2012","1000 tonnes","652648","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2013","2013","1000 tonnes","680753","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2014","2014","1000 tonnes","696821","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2015","2015","1000 tonnes","707243","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2016","2016","1000 tonnes","708642","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","716983","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","744704","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2019","2019","1000 tonnes","758096","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2010","2010","1000 tonnes","18051","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2011","2011","1000 tonnes","18516","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2012","2012","1000 tonnes","19205","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2013","2013","1000 tonnes","19457","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2014","2014","1000 tonnes","19986","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2015","2015","1000 tonnes","20453","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2016","2016","1000 tonnes","20867","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2017","2017","1000 tonnes","22595","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2018","2018","1000 tonnes","23280","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2922","Stimulants","2019","2019","1000 tonnes","23153","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2010","2010","1000 tonnes","8732","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2011","2011","1000 tonnes","9934","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2012","2012","1000 tonnes","10046","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2013","2013","1000 tonnes","10422","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2014","2014","1000 tonnes","10538","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2015","2015","1000 tonnes","11190","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2016","2016","1000 tonnes","12568","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2017","2017","1000 tonnes","14133","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2018","2018","1000 tonnes","14717","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2019","2019","1000 tonnes","14384","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2010","2010","1000 tonnes","272379","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2011","2011","1000 tonnes","282494","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2012","2012","1000 tonnes","283481","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2013","2013","1000 tonnes","288752","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2014","2014","1000 tonnes","283210","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2015","2015","1000 tonnes","281141","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2016","2016","1000 tonnes","280583","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2017","2017","1000 tonnes","275659","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2018","2018","1000 tonnes","279247","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2924","Alcoholic Beverages","2019","2019","1000 tonnes","278649","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2010","2010","1000 tonnes","292494","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2011","2011","1000 tonnes","296839","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2012","2012","1000 tonnes","305510","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2013","2013","1000 tonnes","312404","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2014","2014","1000 tonnes","318133","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2015","2015","1000 tonnes","323771","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2016","2016","1000 tonnes","327364","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2017","2017","1000 tonnes","333738","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2018","2018","1000 tonnes","341674","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2943","Meat","2019","2019","1000 tonnes","334572","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2010","2010","1000 tonnes","19024","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2011","2011","1000 tonnes","19114","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2012","2012","1000 tonnes","19445","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2013","2013","1000 tonnes","19889","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2014","2014","1000 tonnes","20682","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2015","2015","1000 tonnes","20938","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2016","2016","1000 tonnes","21173","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2017","2017","1000 tonnes","21018","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2018","2018","1000 tonnes","21402","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2945","Offals","2019","2019","1000 tonnes","21163","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2010","2010","1000 tonnes","26880","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2011","2011","1000 tonnes","27458","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2012","2012","1000 tonnes","28022","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2013","2013","1000 tonnes","28598","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2014","2014","1000 tonnes","30056","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2015","2015","1000 tonnes","30530","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2016","2016","1000 tonnes","30940","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2017","2017","1000 tonnes","31541","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2018","2018","1000 tonnes","32157","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2946","Animal fats","2019","2019","1000 tonnes","32051","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2010","2010","1000 tonnes","69408","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2011","2011","1000 tonnes","70758","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2012","2012","1000 tonnes","72542","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2013","2013","1000 tonnes","74285","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2014","2014","1000 tonnes","75776","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2015","2015","1000 tonnes","78894","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2016","2016","1000 tonnes","80323","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2017","2017","1000 tonnes","84488","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2018","2018","1000 tonnes","86560","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2949","Eggs","2019","2019","1000 tonnes","88597","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2010","2010","1000 tonnes","714196","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2011","2011","1000 tonnes","732360","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2012","2012","1000 tonnes","753942","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2013","2013","1000 tonnes","771470","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2014","2014","1000 tonnes","797937","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2015","2015","1000 tonnes","806066","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2016","2016","1000 tonnes","816105","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2017","2017","1000 tonnes","834871","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2018","2018","1000 tonnes","857576","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2948","Milk - Excluding Butter","2019","2019","1000 tonnes","864854","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2010","2010","1000 tonnes","143832.09","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2011","2011","1000 tonnes","150268.07","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2012","2012","1000 tonnes","150764.89","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2013","2013","1000 tonnes","155286.61","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2014","2014","1000 tonnes","159396.92","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2015","2015","1000 tonnes","162916.06","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2016","2016","1000 tonnes","164484.22","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2017","2017","1000 tonnes","171094.56","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2018","2018","1000 tonnes","171094.56","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2960","Fish, Seafood","2019","2019","1000 tonnes","171094.56","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2010","2010","1000 tonnes","21270.2","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2011","2011","1000 tonnes","22917.86","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2012","2012","1000 tonnes","25828.63","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2013","2013","1000 tonnes","29295.16","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2014","2014","1000 tonnes","30262.49","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2015","2015","1000 tonnes","32135.39","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2016","2016","1000 tonnes","32744.36","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2017","2017","1000 tonnes","32924.34","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2018","2018","1000 tonnes","32924.35","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2961","Aquatic Products, Other","2019","2019","1000 tonnes","32924.34","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2010","2010","1000 tonnes","100","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2011","2011","1000 tonnes","110","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2012","2012","1000 tonnes","115","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2013","2013","1000 tonnes","140","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2014","2014","1000 tonnes","130","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2015","2015","1000 tonnes","130","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2016","2016","1000 tonnes","165","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2017","2017","1000 tonnes","140","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2018","2018","1000 tonnes","145","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2928","Miscellaneous","2019","2019","1000 tonnes","140","I","Imputed value"
